id_pacjenta,imie,nazwisko,pesel,data_urodzenia,telefon,email,id_miejscowosc
1,Ernest,Banak,50337935247,1956-02-02,531062129,frymuscezary@fpuh.pl,3324
2,Sandra,Gemza,68816778159,2000-10-09,882971640,elzbieta72@yahoo.com,6
3,Maciej,Pajda,89430350238,1935-02-19,411815496,patrykpotyrala@interia.pl,901
4,Robert,Słoboda,13337019904,1947-04-23,604103758,elizatrochim@onet.pl,2066
5,Apolonia,Śledzik,73272004556,1981-10-03,726863961,wiktor61@fundacja.pl,612
6,Ada,Prasek,84149811799,1946-12-01,199095575,echowaniak@bejnarowicz-jedraszczyk.pl,6866
7,Olga,Podgórny,36720359446,2013-01-14,934319105,kalinaprzewozna@szok-skalka.com,833
8,Emil,Myszor,44344843755,1929-01-11,115121886,kamil75@gmail.com,4245
9,Malwina,Halama,01593050124,1984-01-06,218066726,kornel31@o2.pl,6103
10,Maurycy,Gleba,20320759027,1985-01-10,715218061,nikodem14@hotmail.com,8464
11,Janina,Skonieczka,29233234129,1968-12-17,928608993,golanignacy@yahoo.com,6785
12,Przemysław,Szabla,14682300606,1959-02-03,521312496,hgrzenia@gmail.com,2221
13,Dorota,Rohde,33888232088,1969-06-24,890045137,eryk32@fundacja.pl,9158
14,Sebastian,Tylus,38284304369,1998-07-11,109797699,kajetan28@gabinety.org,4664
15,Ryszard,Sałuda,80859096531,1990-06-17,867794734,sylwiasypien@interia.pl,3340
16,Sebastian,Gowin,80496578892,1950-12-08,408696703,rafal42@onet.pl,8276
17,Patryk,Wyłupek,86691688323,1936-11-19,126977818,kacper17@hotmail.com,8970
18,Iwo,Kajstura,63657084658,1935-12-06,465869734,rfriedrich@wawrzynkiewicz.pl,3200
19,Ewelina,Kosznik,23975345337,1978-01-11,182308781,anita78@fpuh.pl,2129
20,Tymon,Fechner,99973239775,2014-09-10,509194000,monika52@grupa.pl,2036
21,Fabian,Dukat,12281584025,1965-03-03,032917682,julian63@gruza.com,6785
22,Oskar,Prochownik,50811038844,1975-11-08,140177218,stefan98@hotmail.com,6635
23,Wojciech,Styrna,09373211214,1943-06-11,285088134,kdlubak@fundacja.pl,6810
24,Kornel,Stypa,25552577616,1951-02-02,322865756,dagmarakleban@o2.pl,2120
25,Natasza,Kobel,72319599209,1931-08-10,171052123,harasimiukartur@habdas-swierszcz.com,3865
26,Melania,Prokopczuk,19060484338,2018-07-31,655099666,przemyslawmarat@yahoo.com,5794
27,Oskar,Jaźwiec,87038771847,1999-06-30,604870359,szymkowadam@yahoo.com,6096
28,Maks,Ferdyn,04906424633,1970-04-11,633313450,gowinmarcel@jedrys.pl,7017
29,Justyna,Rajtar,78508547413,1956-04-19,446136344,xprzewoznik@stowarzyszenie.pl,8380
30,Jędrzej,Kondej,39252357271,1978-07-17,225202775,fidospiotr@makar.org,7761
31,Gabriel,Piłka,65003199667,2007-08-10,402112811,kocajrafal@bareja-opyrchal.com,1464
32,Bianka,Nawrotek,88708689836,1999-05-08,548426147,iobiala@ppuh.com,4924
33,Malwina,Pospiech,17492082784,1984-05-24,621925179,liwia71@hotmail.com,4663
34,Sara,Łasak,41769415971,1982-05-20,791309520,fkolpak@dynia-wierzchon.net,7350
35,Angelika,Gładka,35736679196,1963-09-15,457256220,ymaras@bacia-roslon.pl,1895
36,Robert,Łudzik,03841450314,1927-02-17,673555837,arturwiatrak@yahoo.com,2560
37,Stanisław,Galek,44008469332,1980-08-06,076975402,rudowiczgrzegorz@o2.pl,7755
38,Krystyna,Ludwiniak,12134110784,1936-11-15,099745343,piekarekkrystyna@hotmail.com,5181
39,Bartek,Szałkiewicz,35632981408,1987-02-20,908574333,agnieszkagaluba@fundacja.org,3609
40,Tomasz,Różewicz,39551786473,1941-10-11,457761899,rafalkurda@onet.pl,6211
41,Blanka,Kujda,53647305937,1933-07-09,000133417,kponiedzialek@gabinety.org,3091
42,Jakub,Byzdra,55808369327,1930-12-03,821084538,zczuj@onet.pl,5493
43,Anastazja,Indyka,03036192949,1958-02-16,564087634,anita64@grupa.org,6162
44,Józef,Oczkowicz,13249749412,1956-11-11,998324530,leonard45@interia.pl,3038
45,Andrzej,Lada,72397662360,2011-08-03,432404538,jcyganik@kutek.pl,9656
46,Arkadiusz,Świć,80765965271,1975-01-21,071615901,rafal61@ppuh.org,1630
47,Wiktor,Dąbrowicz,92256422109,2010-12-22,833761346,rtrzyna@yahoo.com,2361
48,Rafał,Pochopień,02830881058,1978-05-18,938374673,janina98@buchalik.com,324
49,Nicole,Szymańczyk,23538646362,1999-04-06,872640936,krystian89@hotmail.com,6154
50,Borys,Petryk,65594651338,1950-09-29,142528227,mieszkokarol@yahoo.com,2404
51,Tadeusz,Kudłacik,95560975156,1995-05-19,461361646,agnieszkaglazik@hotmail.com,8773
52,Julian,Doroszuk,68753299325,1976-05-27,241986916,wojciechdraus@trybus.com,7882
53,Inga,Fijoł,41583584178,1957-09-09,110338442,kazimierz90@kapinos-kocol.pl,3665
54,Adrianna,Kołpak,12117504116,1967-01-11,994704966,gustaw02@ppuh.net,5094
55,Tomasz,Jargiło,60237924906,2019-06-06,109522590,kolaczykpatryk@o2.pl,1147
56,Maksymilian,Brach,92473054023,1989-02-22,660446023,dydoinga@onet.pl,5970
57,Alex,Szykuła,17134174027,1935-06-22,696589115,wiktor31@kij-grygorcewicz.net,813
58,Apolonia,Gumienna,40269249954,1949-03-02,166600961,hkwasek@fpuh.pl,768
59,Marika,Kuran,49815701392,1995-03-01,033371981,vsondej@stowarzyszenie.pl,5834
60,Dominik,Raczkiewicz,82482987823,1934-06-02,142031872,karinamikosz@yahoo.com,6121
61,Emil,Węgrzynek,36036396322,1952-08-29,216310797,robertmical@fpuh.pl,2300
62,Bianka,Czubaszek,26460492161,1931-05-20,694377065,qkolanek@o2.pl,7049
63,Aleks,Rząca,75616666252,2005-04-01,644310277,xnoras@fundacja.org,3317
64,Marcel,Mętel,23293854515,2002-06-14,212100119,ida15@hotmail.com,3788
65,Krystyna,Ruman,82995640855,1936-02-15,609381044,nieradkooskar@hotmail.com,6163
66,Józef,Puc,51000007635,2020-08-15,067655597,broniarekdariusz@gmail.com,2117
67,Rozalia,Wota,43451367400,1971-05-25,868675398,slawikkrystyna@onet.pl,3814
68,Gabriel,Reich,73300944588,1965-08-29,431760143,knychrafal@interia.pl,1588
69,Krystyna,Mak,01599614047,1925-03-22,656335684,andrukiewiczernest@fpuh.com,6901
70,Julianna,Stark,77626027726,1955-05-20,142160979,ulabudda@krzeszowiec.net,7456
71,Stefan,Gumuła,13705455380,1961-03-24,790045053,wojciechkonsek@potoczek-konstanty.com,4721
72,Sara,Breguła,15415068863,1937-02-27,471922661,grzegorz65@ppuh.com,8395
73,Tomasz,Siwczak,44365981381,1933-10-06,753501974,przekopaleksander@hotmail.com,5882
74,Gaja,Cywka,58037178075,1959-07-19,807866233,koziatekkazimierz@o2.pl,431
75,Ernest,Madera,99687591005,1997-12-15,532030554,konstantyciolczyk@onet.pl,7712
76,Alex,Pasztaleniec,63617707604,2015-05-19,410759865,ewasado@fpuh.pl,8696
77,Aurelia,Szłapa,27528566415,1968-03-17,908414644,kochmankonstanty@szachniewicz-bzdziuch.org,7406
78,Tadeusz,Putek,45563814297,2014-07-06,661903561,pleskotkarina@spoldzielnia.com,4985
79,Aleks,Wawszczyk,41823341625,1978-03-22,994272948,blazej69@interia.pl,4501
80,Daniel,Palica,49159457442,2015-09-07,402299086,natasza84@fpuh.org,5443
81,Rafał,Klemczak,21301916986,1937-09-03,338862770,fbernatowicz@toma.pl,2003
82,Daniel,Bździuch,30732597347,1958-12-29,163462666,albert43@spoldzielnia.org,7056
83,Filip,Małyszek,67369371378,1932-11-26,287938681,surmiakrobert@korta.org,4490
